nev;típus;megye;kisterseg;nepesseg;iranyitoszam
Aba;város;Fejér;Abai;4574;8127
Abádszalók;város;Jász-Nagykun-Szolnok;Tiszafüredi;4677;5241
Abaliget;község;Baranya;Pécsi;637;7678
Abasár;község;Heves;Gyöngyösi;2665;3261
Abaújalpár;község;Borsod-Abaúj-Zemplén;Encsi;96;3882
Abaújkér;község;Borsod-Abaúj-Zemplén;Encsi;677;3882
Abaújlak;község;Borsod-Abaúj-Zemplén;Szikszói;113;3815
Abaújszántó;város;Borsod-Abaúj-Zemplén;Abaúj–Hegyközi;3407;3881
Abaújszolnok;község;Borsod-Abaúj-Zemplén;Szikszói;157;3809
Abaújvár;község;Borsod-Abaúj-Zemplén;Abaúj–Hegyközi;330;3898
Abda;község;Győr-Moson-Sopron;Győri;3061;9151
Abod;község;Borsod-Abaúj-Zemplén;Edelényi;285;3753
Abony;város;Pest;Ceglédi;15814;2740
Ábrahámhegy;község;Veszprém;Tapolcai;501;8256
Ács;város;Komárom-Esztergom;Komáromi;7255;2941
Acsa;község;Pest;Váci;1571;2683
Acsád;község;Vas;Szombathelyi;661;9746
Acsalag;község;Győr-Moson-Sopron;Csornai;482;9168
Ácsteszér;község;Komárom-Esztergom;Kisbéri;768;2887
Adács;község;Heves;Gyöngyösi;3794;3292
Ádánd;község;Somogy;Siófoki;2416;8653
Adásztevel;község;Veszprém;Pápai;874;8561
Adony;város;Fejér;Adonyi;3839;2457
Adorjánháza;község;Veszprém;Ajkai;471;8497
Adorjás;község;Baranya;Sellyei;188;7841
Ág;község;Baranya;Sásdi;206;7381
Ágasegyháza;község;Bács-Kiskun;Kecskeméti;1933;6076
Ágfalva;község;Győr-Moson-Sopron;Sopron–Fertődi;1951;9423
Aggtelek;község;Borsod-Abaúj-Zemplén;Kazincbarcikai;628;3759
Agyagosszergény;község;Győr-Moson-Sopron;Kapuvári;938;9441
Ajak;város;Szabolcs-Szatmár-Bereg;Kisvárdai;3952;4524
Ajka;város;Veszprém;Ajkai;31649;8400
Aka;község;Komárom-Esztergom;Kisbéri;291;2862
Akasztó;község;Bács-Kiskun;Kiskőrösi;3483;6221
Alacska;község;Borsod-Abaúj-Zemplén;Miskolci;877;3779
Alap;község;Fejér;Sárbogárdi;2143;7011
Alattyán;község;Jász-Nagykun-Szolnok;Jászberényi;2035;5142
Albertirsa;város;Pest;Ceglédi;11615;2730
Alcsútdoboz;község;Fejér;Bicskei;1504;8087
Aldebrő;község;Heves;Füzesabonyi;2178;3353
Algyő;nagyközség;Csongrád;Szegedi;5326;6750
Alibánfa;község;Zala;Zalaegerszegi;480;8921
Almamellék;község;Baranya;Szigetvári;496;7934
Almásfüzitő;község;Komárom-Esztergom;Komáromi;2369;2931
Almásháza;község;Zala;Zalaszentgróti;57;8935
Almáskamarás;község;Békés;Mezőkovácsházi;989;5747
Almáskeresztúr;község;Baranya;Szigetvári;87;7932
Álmosd;község;Hajdú-Bihar;Derecske–Létavértesi;1673;4285
Alsóberecki;község;Borsod-Abaúj-Zemplén;Bodrogközi;861;3985
Alsóbogát;község;Somogy;Kaposvári;300;7443
Alsódobsza;község;Borsod-Abaúj-Zemplén;Szerencsi;393;3717
Alsógagy;község;Borsod-Abaúj-Zemplén;Encsi;108;3837
Alsómocsolád;község;Baranya;Sásdi;331;7345
Alsónána;község;Tolna;Szekszárdi;728;7147
Alsónémedi;nagyközség;Pest;Gyáli;4783;2351
Alsónemesapáti;község;Zala;Zalaegerszegi;751;8924
Alsónyék;község;Tolna;Szekszárdi;821;7148
Alsóörs;község;Veszprém;Balatonalmádi;1335;8226
Alsópáhok;község;Zala;Keszthely–Hévízi;1254;8394
Alsópetény;község;Nógrád;Rétsági;752;2617
Alsórajk;község;Zala;Nagykanizsai;416;8767
Alsóregmec;község;Borsod-Abaúj-Zemplén;Sátoraljaújhelyi;220;3989
Alsószenterzsébet;község;Zala;Lenti;92;8973
Alsószentiván;község;Fejér;Sárbogárdi;682;7012
Alsószentmárton;község;Baranya;Siklósi;1119;7826
Alsószölnök;község;Vas;Szentgotthárdi;418;9983
Alsószuha;község;Borsod-Abaúj-Zemplén;Kazincbarcikai;520;3726
Alsótelekes;község;Borsod-Abaúj-Zemplén;Kazincbarcikai;148;3735
Alsótold;község;Nógrád;Pásztói;268;3069
Alsóújlak;község;Vas;Vasvári;621;9842
